title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,publishedDate,comments
"A Haunting In Venice - Official Behind the Scenes Clip (2023) Kenneth Branagh, Michelle Yeoh",MgR2o7RixQ0,3572,61,0,0,0,2023-08-15T17:47:50Z,No comments
A Haunting In Venice | Eerie Ensemble | In Theaters Sept 15,oSdqm86pe4g,15990,392,0,16,0,2023-08-30T22:00:27Z,"['I would LOVE to see Mystery Inc. solve a mystery like the ones in Agatha Christie’s books.', 'Where is royal dano and Ken Curtis', '<a href=""https://www.youtube.com/watch?v=oSdqm86pe4g&amp;t=2m05s"">2:05</a> - &quot;Directed by Kenneth Branagh.&quot;', 'May I ask something: why set it in Venice? I find no reason to it! You could put it in Paris and it’ll change nothing!', 'Please 👋 someone 🧑🏻👧🏻 connect me with director David Fincher 🧔🏻\u200d♂️ because I have an idea and a story for a movie 📽 that will work 🤯 I&#39;m sure it will work.  My life is miserable.  I live in hope that one day an idea for a film will come to David.  Who can help me meet David.  Thank you.  This is what I can do❤😇😢', 'A haunting in Venice is a spooky fun movie from blue pictures movies and shows.', 'A haunting in Venice is a haunting movie from 20th century Columbia.', '😊', 'I love Ken Branagh, his artistic, theatrical and wonderful way of making quality films with the best casts.👏👏', 'So I&#39;m guessing this is Tina Fey&#39;s first non-comedic role?', 'Good Work on this wonderful film 💖', 'High expectations', 'day 69696969696969 of asking you to rename back to 20th century fox']"
A Haunting In Venice | Official Trailer | In Cinemas Sept 14,6ykO3WquaDg,100909,207,0,9,0,2023-07-19T21:13:14Z,"['Omggg I have to see thisss', 'Man I hope the whole film wasn&#39;t filmed on a potato', 'A haunting in Venice! Reminds me of Death on the Nile.', 'I can’t wait! 😊😊😊😊', 'Based on which Agatha Christie book?', 'Film is the greatest just how I pictured it!', 'A haunting in Venice is a scary movie from 20th century Columbia.', 'Seems similar to talk to me']"
A HAUNTING IN VENICE Movie Review **SPOILER ALERT**,Npqnm7iVUY0,6884,408,0,63,0,2023-09-15T19:45:11Z,"['Just went to this and slept the whole time. Woke up at the end credits 😩', '<a href=""https://www.youtube.com/watch?v=Npqnm7iVUY0&amp;t=2m45s"">2:45</a> hey guuuuurl!  Hehe', 'I think this movie&#39;s title was chosen to capitalize on the conjuring franchise by using the same template as A Haunting in Connecticut. And tbh it kind of can fit inside of the Conjuring universe if they really wanted to. But then they will have to not show any fictional works of Hercule Poirot\xa0by Agatha Chistie', 'The tiny problem I had with this film is the torn photograph of the young couple looks too modern in the quality of the photo. I know in 1947 they had color photo technology but to my knowledge I think it was kind of washed out and colored in by hand and not as clear and accurate looking tint and hue or natural looking skin tones etc', 'I actually liked this film even with the ending spoiled. I saw this with my sister and her husband and we both liked it. Thought it was shot and lit well and had an old-fashioned look to it in terms of the scenery and how it was shot.', 'I didn&#39;t like it either...', 'I love when Nick goes on a rant!🥰for some reason I find it very satisfying!', 'You guys need to see his film Dead Again it is fantastic!', 'I mean it with all of the shade in all of the world, but girl, I saw this last night and the whole time I kept thinking... girl, that is not Michelle Phifer! I was like, give Michelle Phifer her wig back! I hope you know what I&#39;m saying. Lol. I loved Tina! I went for Michelle Yeoh and I loved Michelle Yeoh, but, I was super happy that I got Tina cuz I forgot she was in the movie.', 'I watched it today, very boring,almost fell asleep.', 'I liked this film. <br>It was a good time. like i didn&#39;t roll my eyes once which I tend to do w the way these scary films are now a days.', 'This movie was the shit. Kenneth branagh is back, bitches!!!!', 'Need a aggro dr1ft review from Nicholas', 'That’s ice cold, I enjoyed this movie and am glad I got pause and watched before it was decimated lol.', 'Fun movie!']"
A HAUNTING IN VENICE Trailer 2 German Deutsch (2023),Hb3G3aNoyPs,143184,1733,0,76,0,2023-07-19T13:52:39Z,"['Krasser film🔥🔥🔥', 'Erst mega Happy, cool ein neuer Film der Reihe. Aber nach dem Trailer sehr enttäuscht!!!!! Mochte an den anderen Filmen den gewissen Charme , aber jetzt einfach ein weiterer ( Horror ) streifen daraus gemacht  zu haben finde ich einfach nur schade und einfallslos 🤢Fällt denen nichts mehr gescheiteres mehr ein!?!?!', 'Die Zwischensequenzen waren etwas verwirrend, aber an sich ein guter Film', 'Keiner kann David Suchet das Wasser reichen. Nicht einmal der große Peter Ustinov.', 'Ich bin skeptisch. Agatha Christie, Hercules Poirot und Horror? Eine eher unwahrscheinliche und fragwürdige Mischung. Ich hab Angst, dass man dieses Mal sich zu weit von der &quot;Basis&quot; (also dem Buch) entfernt', 'Ich fand Tod auf dem Nil super und freue mich auf A Haunting in Venice', 'Wann spielt der denn zeitlich? Weil er seinen Bart hat (wenn man Tod auf dem Nil gesehen hat, weiß man was ich meine)', 'Bin mal gespannt wie der abc mörder aussehen wird wenn der verfilmt wird Tod auf dem Nil schau ich mal die Tage', 'Bin mit meiner stufe auf nem ausflug auf ner fähre an denen vorbeigescheppert als die die bootszene gedreht haben haha', 'Nach den beiden eher bescheidenen Filmen für MICH, bin ich gespannt über die übernatürliche Komponente für solch einen „Detektiv Quatsch“.', 'Als Horror-Fan finde ich, sieht das nach einem gewöhnlichen Horrorstreifen aus. Nichts besonderes, nichts neues. Solche (ähnliche) Szenen gibt und gab es schon in vielen anderen Filmen. Ob Ouija, Insidious oder Conjuring-Reihe und viele mehr (wobei letzt genanntes meines Erachtens schon zu den besten gehört). Ich hoffe dass noch einige bessere Szenen im Film vorkommen, und nicht die besten bereits im Trailer zusammengeschnitten wurden. Dem Film geb ich jedenfalls eine Chance. Zumindest neuer Input :)', 'Hoffentlich nicht so dumm und langweilig wie Tod auf dem Nil...', '<a href=""https://www.youtube.com/watch?v=Hb3G3aNoyPs&amp;t=0m28s"">0:28</a> die maske ist doch von julien bam', 'Der Film wirt sicher gut freue mich mega auf dem Film 😊😊', 'Mhhh. Fand die ersten beiden Filme schrecklich. Das sieht auch richtig scheiße aus.']"
A Haunting in Venice | Teaser Trailer | In Cinemas September,8rAlqVboYqU,1117262,303,0,23,0,2023-04-26T18:43:38Z,"['Looks lame and formulaic', 'Just visited very nice place however it turned into a horror for us when we missed the water taxi 30 euro 💶 had to get a private taxi cost me 130 euro had nightmares ever since 😢', 'Possibly based on &quot;The Last Seance&quot; ?', 'Can&#39;t wait😊', 'Can’t wait for September!!❤', 'If you’ve actually walked thru venice at night… it looks and feels like an active horror movie.', 'Can’t waitttt', '❤❤❤❤ amazing', 'I didn&#39;t knew there is 3rd one coming out💀. I just realized it and now I&#39;m 5 days late', 'This seems roughly based on &#39;Don&#39;t Look Now, with Donald Sutherland and with Julie Christie. She loses a daughter and they are haunted by her running in the streets etc.', 'I love how Kenneth Branagh has made a more serious and horror movie in the poirot series', 'The  movie A Haunting in Venice  is a good horror movie you want to see', 'Death is just the beginning 15.9.2023', 'It is an original story that, like the James Bond films, is not based on the actual Agatha Christie source of novels', 'yay beth']"
A Haunting In Venice | Haunting Mystery | In Cinemas September 14,KVgWH69JB-g,527,12,0,1,0,2023-08-16T06:40:52Z,['I&#39;m looking forward to this Movie. 😊']
A Haunting In Venice: Go Behind the Scenes With Jamie Dornan and Tina Fey (Exclusive),9lZQ-U29YlY,14558,232,0,13,0,2023-09-03T19:00:05Z,"['Great movie ❤❤', 'Looks great, I&#39;d see it just  because  of jamie.', 'Очень хочется посмотреть премьеру этого фильма, но, к сожалению,, с Россией компания расстроила договор и у нас не будет премьеры, хотя, я считаю, что спорт и искусство должны быть вне политики, но запад с Америкой все политизировали давно, то на соревнованиях перепутают гимн, то срывается гимн, мы уже привыкли к таким корням, нам это не ново, только вопрос в том , кто теряет деньги, точно не мы, представьте сколько у нас фанатов зарубежных фильмов, так что , только дебилы рубят сук, на котором сидят, я о политиканах продажных, такого же мнения и о критиках, которые не имеют своего мнения', 'I honestly can&#39;t wait for this film.', 'long time i didnt watch anything related with jamie dornan', 'I can&#39;t wait to watch 😍', 'It looks cool i definitely would check it out shout-out to all the true believers in the supernatural and the paranormal 😮', 'Is this based on true events????', 'Looks like a great move.', 'Love movies like this', 'Hi']"
A Haunting in Venice | Official Trailer | In Cinemas September 15,LAywaWCFXgw,117574,358,0,28,0,2023-07-19T12:51:49Z,"['Blonde girl killed her own daughter she comes back gets revenge by drowning her end of movie', 'I cannot sing enough praise for this film - magnificent. The cinematography and use of sound was incredible. Atmospheric and indeed haunting - loved it. It’s the best of the three. A definite must watch and we will watch it again. Well done👏', 'That looks AWESOME !!! A negative review from the Guardian brought me here so thank you stupid Guardian I guess lmao !!!', 'Michelle stole the show, in this little clip at least', 'Can you make The Peanuts Movie 2?', 'Can you make another live action movie of Alvin and the chipmunks?', 'Tina Fey…yuck.', 'Kenneth Branagh movies on Agatha Christie&#39;s are amazing... very excited for this', 'Classic ❤', 'looks stupid, and also looks based on many other way better movies like The Changeling and Ghost Story, and Tina Fey?', 'The last one was terrible.', 'I saw this trailer and I went wow what book is this based off of I need to go read it because I certainly haven&#39;t already then I read &quot;based on a Halloween party&quot; what? no, it&#39;s not.', 'As much as I would love to see the Poirot character on the big screen, I just can&#39;t see anyone else play Poirot other than David Suchet', 'Can&#39;t wait, wonder what the age rating is going to be.', 'Brilliant trailer.....Hercule poirot has returned with a horror mystery....It&#39;s surely going to be FUN!!!']"
Real Scares On The Set Of A Haunting In Venice,tgUpywrWZvw,1186981,369,0,20,0,2023-09-09T01:03:07Z,"['Where is Ken Curtis and royal dano', 'The amount of jump scare scenes are impeccable', 'The jumpscares are effective bcs I genuinely thought I might have to visit the ER again', 'Asian woman wasn&#39;t scary just annoying', 'Tina fey can&#39;t act', 'I&#39;m not big on the Agatha Christie scene personally, but this does look reeeeeely good!', '😊', 'Can&#39;t wait', 'bet kenneth brannagh learned it form ridley scott on how to scare his actors😢😢', 'I see the guy from murder on the orient express', 'Riccardo Scamarcio ❤ 🇮🇹', 'Can’t barely wait 😊', 'Can you make The Peanuts Movie 2?', 'Kyle Allen if you’re reading this I am free on Thursday night. If you would like to hang out I am free on Thursday night when i am free to hang. I am free to hang out on Thursday night so if you want to hang out on Thursday night I am free.', 'It&#39;s amazing how real real can be']"
